TIME,RES
2021-11-17 08:40:14,6500
2021-11-17 08:40:44,6500
2021-11-17 08:41:14,6500
2021-11-17 08:41:44,6500
2021-11-17 08:42:14,6500
2021-11-17 08:42:45,7200
2021-11-17 08:43:15,6500
2021-11-17 08:43:45,6500
2021-11-17 08:44:15,6500
2021-11-17 08:44:45,6500
2021-11-17 08:45:15,6500
2021-11-17 08:45:45,6500
2021-11-17 08:46:16,6500
2021-11-17 08:46:46,6500
2021-11-17 08:47:16,6500
2021-11-17 08:47:46,6500
2021-11-17 08:48:16,6500
2021-11-17 08:48:46,6500
2021-11-17 08:49:17,6500
2021-11-17 08:49:47,6500
2021-11-17 08:50:17,6500
2021-11-17 08:50:47,6500
2021-11-17 08:51:17,6500
2021-11-17 08:51:47,6500
2021-11-17 08:52:18,6500
2021-11-17 08:52:48,6500
2021-11-17 08:53:18,6500
2021-11-17 08:53:48,6500
2021-11-17 08:54:18,6500
2021-11-17 08:54:48,6500
2021-11-17 08:55:18,6500
2021-11-17 08:55:49,6500
2021-11-17 08:56:19,6500
2021-11-17 08:56:49,6500
2021-11-17 08:57:19,6500
2021-11-17 08:57:49,6500
2021-11-17 08:58:19,6500
2021-11-17 08:58:50,6500
2021-11-17 08:59:20,6500
2021-11-17 08:59:50,6500
2021-11-17 09:00:20,6500
2021-11-17 09:00:50,6500
2021-11-17 09:01:20,6900
2021-11-17 09:01:50,6500
2021-11-17 09:02:21,6500
2021-11-17 09:02:51,6500
2021-11-17 09:03:21,6500
2021-11-17 09:03:51,7500
2021-11-17 09:04:21,6500
2021-11-17 09:04:51,6500
2021-11-17 09:05:22,6500
2021-11-17 09:05:52,6500
2021-11-17 09:06:22,6500
2021-11-17 09:06:52,6500
2021-11-17 09:07:22,6500
2021-11-17 09:07:52,6500
2021-11-17 09:08:23,6500
2021-11-17 09:08:53,6500
2021-11-17 09:09:23,6500
2021-11-17 09:09:53,6500
2021-11-17 09:10:23,7400
2021-11-17 09:10:53,6600
2021-11-17 09:11:23,7500
2021-11-17 09:11:54,6500
2021-11-17 09:12:24,7200
2021-11-17 09:12:54,6500
2021-11-17 09:13:24,6500
2021-11-17 09:13:54,6500
2021-11-17 09:14:24,6500
2021-11-17 09:14:55,6500
2021-11-17 09:15:25,6500
2021-11-17 09:15:55,6500
2021-11-17 09:16:25,6500
2021-11-17 09:16:55,6500
2021-11-17 09:17:25,6500
2021-11-17 09:17:56,6500
2021-11-17 09:18:26,6600
2021-11-17 09:18:56,6500
2021-11-17 09:19:26,6500
2021-11-17 09:19:56,6500
2021-11-17 09:20:26,6500
2021-11-17 09:20:56,6500
2021-11-17 09:21:27,6500
2021-11-17 09:21:57,6500
2021-11-17 09:22:27,6500
2021-11-17 09:22:57,6500
2021-11-17 09:23:27,7500
2021-11-17 09:23:57,6500
2021-11-17 09:24:28,6500
2021-11-17 09:24:58,6500
2021-11-17 09:25:28,6500
2021-11-17 09:25:58,6500
2021-11-17 09:26:28,7500
2021-11-17 09:26:58,6500
2021-11-17 09:27:28,6500
2021-11-17 09:27:59,6500
2021-11-17 09:28:29,6500
2021-11-17 09:28:59,7000
2021-11-17 09:29:29,7300
2021-11-17 09:29:59,6500
2021-11-17 09:30:29,6500
2021-11-17 09:31:00,6500
2021-11-17 09:31:30,6500
2021-11-17 09:32:00,6500
2021-11-17 09:32:30,6500
2021-11-17 09:33:00,6600
2021-11-17 09:33:30,6500
2021-11-17 09:34:01,6500
2021-11-17 09:34:31,6900
2021-11-17 09:35:01,6500
2021-11-17 09:35:31,6500
2021-11-17 09:36:01,6500
2021-11-17 09:36:31,6500
2021-11-17 09:37:01,6500
2021-11-17 09:37:32,6500
2021-11-17 09:38:02,6600
2021-11-17 09:38:32,6600
2021-11-17 09:39:02,6600
